content,url,coordinates,problem_type,category_type,tone,emotionality,probability
"он у вас то работает, то не работает, но это ладно. У вас регистрация на сберспасибо не работает. Переходим из сберонлайн на сберспасибо на страницу регистрации. Там телефон уже вбит, дата рождения стоит, вводим пароли, жмем ""регистрация""... попадаем на страницу согласий, проставляем галки, жмем ""дальше"" и снова попадаем на первую страницу регистрации, и так зациклено. Попытался скачать прилогу сберспасибо с эпплстор, думал, оттуда регистрация есть... хрентам. Там только страница на вход для уже зарегистрированных.  И вот сутки в чате сберонлайн висят вопросы. Про чат ""сберспасибо"" и говорить не приходится. По 900 задалбливает эл. помощник. Вы теперь понимаете, почему так развивается желтенький банк, отнимая у сбера долю? Да потому, что там сроду больше часа я не ждал ответа на вопросы. Тут я пытаюсь зарегистрировать маму в сбер.спасибо. Она карту ""мир"" себе заимела пенсионную. А я ей говорил ""бери желтенький"".",147,Себеж,2,1,2,0,1
куда писать про отвратительную работу сберлогистика?,68,Неизвестно,2,0,2,0,0
"Не работает не только приложение , но даже офиц сайт. Москва. Кстати, не пришла смс от банкомата, что сняла деньги",518,Москва,2,2,2,0,1
приложение показало что у меня нет никаких счетов в сбере хотя они есть и там было ощутимое количество денег,277,Неизвестно,2,2,2,0,1
"Отвратительно работает , а точнее сказать вообще не работает Сбер Pay , оно очень часто , практически каждый раз при попытке оплаты выдает ошибку , и чтобы оплатить покупку мне каждый раз приходится его перезапускать . Иногда оно вообще отказывается работать просто вместо сбер пея открывается сбер онлайн .",365,Неизвестно,2,2,0,0,0
"Версия приложения 12.6.0 После того как Пенсионный Фонд в одностороннем порядке списал деньги с карты Мир, которая была неактивна, возникли проблемы с активацией карты в приложении. Пришли в банк получать новые карты МИР. Узнаем, что, оказывается, карты уже активны и их не могут выдать владельцу. Тем не менее, карты находятся у сотрудников банка. Начинаем разбираться, каким образом карты активировались. Оказывается по запросу ПФ со счета Карты МИР были списаны деньги. После этого, во внутренних системах банка - наши карты числяться активными, тем не менее заходим в Сбербанк Онлайн - карты Мир неактивны и нет возможности активировать их, чтоб хоть как то снять деньги.",294,Неизвестно,2,2,2,0,1
Новосибирск. Не приходят смс от сбера с паролем для входа в моб. Банк. Сбер божится что это проблемы у билайна.,405,Новосибирск,2,2,0,0,1
"уважаемый сбербанк хочу сделать в приложении +50 за переводы (99 руб), но каким то магическим образом нажимается только пакет услуг только за за 200+ рублей",234,Перевоз,2,2,2,0,1
"БЕЗ КАКОГО-ЛИБО УВЕДОМЛЕНИЯ (предупреждения) с моих счетов через сбербанк онлайн были списаны денежные средства «в счет уплаты просроченной задолженности@, КОТОРОЙ НЕ ЬЫЛО!!!! СВИНСТВО И ХАМСТВО по отношению к клиенту.",275,Неизвестно,2,2,2,2,1
"Звонили, якобы со Сбербанка. Назвали ФИО мужа,что есть для него предложение. Ответила,что не знаю такого. До этого, за часа 2, звонили мужу, просили дату рождения для подтверждения. Якобы сбербанк.",756,Неизвестно,1,3,2,0,1
"Представляются сотрудником полиции и говорят, что со счетов в сбере пытались снять деньги. Счетов и карт в сбере у меня нет.",813,Неизвестно,1,4,2,0,1
